iter	Passed	Remaining
0	4	481
1	9	443
2	13	444
3	17	416
4	21	413
5	25	406
6	30	400
7	34	394
8	38	391
9	43	388
10	47	384
11	51	380
12	56	375
13	60	371
14	65	369
15	69	366
16	74	362
17	78	357
18	82	352
19	86	347
20	90	341
21	95	337
22	100	335
23	104	330
24	108	325
25	112	320
26	117	317
27	121	312
28	126	308
29	130	304
30	135	301
31	140	297
32	144	293
33	148	289
34	153	284
35	157	279
36	161	274
37	165	270
38	169	265
39	174	261
40	178	256
41	180	248
42	184	244
43	188	240
44	192	235
45	197	231
46	201	227
47	206	223
48	210	219
49	215	215
50	219	210
51	223	206
52	227	202
53	232	197
54	234	192
55	238	187
56	242	183
57	247	179
58	251	175
59	255	170
60	260	166
61	265	162
62	269	158
63	274	154
64	278	150
65	283	146
66	288	141
67	292	137
68	297	133
69	301	129
70	305	124
71	308	119
72	310	114
73	313	110
74	315	105
75	317	100
76	320	95
77	321	90
78	323	86
79	325	81
80	328	76
81	329	72
82	331	67
83	332	63
84	333	58
85	335	54
86	336	50
87	337	46
88	339	41
89	340	37
90	342	33
91	343	29
92	344	25
93	346	22
94	347	18
95	349	14
96	350	10
97	351	7
98	353	3
99	354	0
